# OpenSilkroadMap normalized height-grid inventory (VSHG v1)
# source: Map.pk2 /{sy}/{sx}.m (extracted read-only via pk2_mate)
# format: <sx>	<sy>	<size>	<min_h>	<max_h>	<hg_sha256>
104	100	97	-920.78	1198.61	38beae291ec26bb116342feb5bd486a236c400e72202612187f03f2d11a586b2
104	84	97	2115.11	5048.38	9445127b7c59224d76af2dc3cbbbdf078c274060a90d473d3fa0afe8ad34ef01
104	90	97	1891.44	4091.08	8e4326c2ca24a8fa43cdaaa833a831c6b089198a8afbe2ffe102c3a90858f6a4
106	106	97	127.91	310.35	31099b14a6c05b3eace1a7836d4f62b9bd7535f13cb1d1f39a800291072a74c7
121	85	97	1326.86	3297.85	590ee829cc24d42c9f3e9d83f7bf26131d4a7f09c78a878721edaa556e21c4b0
125	98	97	90.43	1459.54	1f2e0ca5eaa568a7b9ec5dc5c6736cad097c07f0bb3f12e07cf1bf1b4d2afa86
130	88	97	481.71	1531.33	ee2dcd8e87178466716db0d5551d0e87ab5efbf91cc24059a884cf8e0c8b2366
130	95	97	1472.64	3092.94	d719da1f9fadd18f28775b7123eabf7709e3dec0370aab3e062aa20c260db68c
143	89	97	-117.25	376.59	49d283ff8eb3ec4a3d8d97834259fe03547ffc612f0cabd40bd8e2808ca85591
156	89	97	866.25	2687.02	53c5fe1ae346e60573e3ad823543f8800ce925e9d5d9ff10d3579f967bcb709e
156	90	97	801.79	1825.93	55dfef316cba2aba8386a0ba5ed4ccc5818017ecdc014d438045c6bc1615f2fb
191	113	97	392.01	2063.82	3ed091b52960d967bd7342f1671b806464022335458eab636d831f11f32fb581
47	87	97	100.00	2057.84	c9e05df680d8afed967018074d25a06190d017d7c97542c592fc62835cbeac78
56	72	97	700.00	1734.87	1927ac416f76c47086e952f437eb535af34711e9221f00b3985bf1371d3d57c5
64	81	97	800.98	1871.43	a6fb7ebfb5a43b6c63d721241bfe64d8fa30f4fdf71ad227e80456ab3a77adc4
68	96	97	-300.00	1480.34	1b99de6958cbc2baa84113fd88f49c7bbd2782e20e4fdc60edd9680771795a19
76	103	97	-369.93	75.00	de160a277fdfe44de8fe0f2587a0e813982808e7d82fa74e1143aa291990f13b
76	104	97	-270.03	122.01	9925dd86d599bee68bd5758495567e14e1a5cf4d318ccfc31a8598dbc83b35cf
76	105	97	-262.29	64.04	6be1996912eba0d9ea3485a0e06708cbdbfef7a2ad64c1e09520bc38904e0d06
77	103	97	-414.73	219.48	3472c84d570ef4a5c71ac8b66df03641bbaeae5cf9dfe52572683fd847d436ab
77	104	97	-263.64	103.34	584be5d1204758bdc743344f89fb5ef1e241d15d619bdca7b5415849ee85eafa
85	73	97	-1133.93	-1133.93	dcd79e5293217833b26fd97813bfc83e95d677dd397cffcf0a343dcb1454a2f3
88	86	97	-435.35	276.72	79cd74c5b6efd255cd3671ff394c0fdd9238de4f6bb6da1fe331859d4dec8a81
